Title,Price,Size,WG Type,City,District,Street
"Süßes, helles WG-Zimmer",480 €,19 m²,3,Köln,Altstadt-Süd,Rolandstraße 5
Große Haus-WG Köln/Bonn,499 €,18 m²,7,Köln,Bornheim,- Sechtem |                                                Bahnhofstr. 3
Zwischenmiete in gemütlicher 5er-WG in Köln Kalk (Humboldt-Gremberg),455 €,16 m²,5,Köln,Humboldt/Gremberg,Esserstraße
Kalker Schmuckstück,464 €,21 m²,3,Köln,Humboldt-Gremberg,Feldbergstraße x
"Die Miete enthält auch Strom, Gas und Internet.",440 €,16 m²,3,Köln,Ehrenfeld,Fröbelstraße 40
FuWo-Friends 🌈 open minded People Köln 🤗🌿 FuWo=FunktionalesWohnen ✨,100 €,30 m²,0,Köln,Telegram,Gruppe
Alle Zimmer sind ungefähr gleich groß.,460 €,18 m²,3,Köln,Neuehrenfeld,Vogelsanger Str. 185
"City UniKlinik,Uni , 2RaumSingleApartment, Möbliert, 30qm",490 €,30 m²,2,Köln,Sülz,Nikolausstr.131
"Studentenzimmer in Verbindungsvilla (Studentenverbindung, Uninähe, großer Garten, Dachterrasse, Theke) - ausschließlich für Studenten -",290 €,20 m²,9,Köln,Lindenthal,Heinestraße 30
16qm Zimmer in 2er WG - Südstadt,475 €,16 m²,2,Köln,Altstadt-Süd,Zwirnerstraße 41
Mehrere Zimmer in Studenten-WG (in Uninähe),290 €,15 m²,8,Köln,Joseph-Stelzmann-Straße,7
Room In WG Meschenich Köln Available Till 31.05.2023,300 €,16 m²,3,Köln,Meschenich,An der Fuhr 1
Room In WG Meschenich Köln Available Till 31.05.2023,350 €,20 m²,2,Köln,Meschenich,An der Fuhr 1
3 Monate Sommer zentral mit Garten,450 €,15 m²,2,Köln,Nippes,Krüthstraße
ein Zimmer in einer Wohnung schön eingerichtet für einen Monat,410 €,20 m²,2,Köln,Köln,Siebachstr.
Köln-Nippes,475 €,16 m²,2,Köln,Nippes,Nettelbeckstr.
Mitbewohnerin gesucht,250 €,15 m²,2,Köln,Ehrenfeld,Ehrenfeld
WG Zimmer in Neu Ehrenfeld,480 €,20 m²,4,Köln,Neuehrenfeld,Grolmanstr.43
"Zimmer (Nr. 31) 26 qm in katholischer Studentenverbindung, nur für Studenten",348 €,26 m²,0,Köln,Klettenberg,Wolkenburgstr. 3
Ruhiges Zimmer im Haus mit Garten und direkt am Wald. DLR/ESA Nähe weibl./female,400 €,15 m²,3,Köln,wahnheide,Magazinstrasse
