2023-04-08 15:25:59,853:                        2er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Hüttenstraße 14                     
2023-04-08 15:25:59,854:                        2er WG                           |                                                                                    Köln                                                        Merheim |                                                Kieskaulerweg                     
2023-04-08 15:25:59,858:                        2er WG                           |                                                                                    Köln                                                        Altstadt-Nord |                                                Alter Markt                     
2023-04-08 15:25:59,859:                        3er WG                           |                                                                                    Köln                                                        Gremberghoven |                                                Feldbergstr. 14                     
2023-04-08 15:25:59,860:                        2er WG                           |                                                                                    Köln                                                        Raderberg |                                                Brühler Str. 114                     
2023-04-08 15:25:59,860:                        4er WG                           |                                                                                    Köln                                                        Raderthal |                                                Hitzelerstr. 50                     
2023-04-08 15:25:59,861:                        3er WG                           |                                                                                    Köln                                                        Sülz |                                                Nikolausstr. 69                     
2023-04-08 15:25:59,861:                        2er WG                           |                                                                                    Köln                                                        Neustadt-Süd |                                                Ohmstr. 38                     
2023-04-08 15:25:59,862:                        2er WG                           |                                                                                    Köln                                                        Bickendorf |                                                Feltenstr                     
2023-04-08 15:25:59,862:                        2er WG                           |                                                                                    Köln                                                        Altstadt-Nord |                                                Krefelderstraße 20                     
2023-04-08 15:25:59,863:                        2er WG                           |                                                                                    Köln                                                        Sülz |                                                Nikolausstr.131                     
2023-04-08 15:25:59,863:                        3er WG                           |                                                                                    Köln |                                                                            Kalscheurer Weg                     
2023-04-08 15:25:59,864:                        3er WG                           |                                                                                    Köln                                                        Sülz |                                                Rennebergstr.                     
2023-04-08 15:25:59,865:                        7er WG                           |                                                                                    Köln                                                        Bornheim - Sechtem |                                                Bahnhofstr. 3                     
2023-04-08 15:25:59,865:                        2er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Stamm Str. 74                     
2023-04-08 15:25:59,866:                        2er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Stamm Str. 74                     
2023-04-08 15:25:59,866:                        3er WG                           |                                                                                    Köln                                                        Weiß |                                                Am Rheinberg 9                     
2023-04-08 15:25:59,867:                        6er WG                           |                                                                                    Köln                                                        Altstadt-Nord |                                                Aquinostraße                     
2023-04-08 15:25:59,867:                        3er WG                           |                                                                                    Köln |                                                                            Stadtwaldgürtel                     
2023-04-08 15:25:59,868:                        3er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Fröbelstraße 40                     
2023-04-08 15:26:33,593:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Bickendorf |                                                Erlenweg                    
2023-04-08 15:26:33,594:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Sülz |                                                Redwitzstr. 76                    
2023-04-08 15:26:33,595:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Mülheim |                                                Keup straße119                    
2023-04-08 15:26:33,596:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Neustadt-Süd |                                                Meister-Gerhard-Str.                    
2023-04-08 15:26:33,596:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Sülz |                                                Wichterichstraße 4                    
2023-04-08 15:26:33,597:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Mülheim |                                                Keup straße119                    
2023-04-08 15:26:33,598:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Belgisches Viertel |                                                Brüsseler Straße 4                    
2023-04-08 15:26:33,598:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Altstadt-Nord |                                                Greesbergstraße                    
2023-04-08 15:26:33,599:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Lövenich |                                                Zaunstraße                    
2023-04-08 15:26:33,600:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Lindenthal |                                                Mommsenstraße                    
2023-04-08 15:26:33,600:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Bocklemünd/Mengenich |                                                Untere Dorfstr.                    
2023-04-08 15:26:33,601:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        belgisches Viertel |                                                Lütticher Straße 10                    
2023-04-08 15:26:33,601:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Kwartier Latäng |                                                Roonstraße                    
2023-04-08 15:26:33,602:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Agnesviertel |                                                Melchiorstr. 10                    
2023-04-08 15:26:33,603:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Ostheim |                                                Zehnthofstraße 21a                    
2023-04-08 15:26:33,603:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Nippes |                                                Balthasarstr                    
2023-04-08 15:26:33,603:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Altstadt-Süd |                                                Im Weichserhof 3                    
2023-04-08 15:26:33,604:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Ehrenfeld |                                                Keplerstrasse                    
2023-04-08 15:26:33,604:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Kalk |                                                70                    
2023-04-08 15:26:33,605:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Rodenkirchen |                                                Sürther Feldallee 12                    
2023-04-08 15:27:38,076:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Bickendorf |                                                Erlenweg                    
2023-04-08 15:27:38,078:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Sülz |                                                Redwitzstr. 76                    
2023-04-08 15:27:38,080:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Mülheim |                                                Keup straße119                    
2023-04-08 15:27:38,080:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Neustadt-Süd |                                                Meister-Gerhard-Str.                    
2023-04-08 15:27:38,081:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Sülz |                                                Wichterichstraße 4                    
2023-04-08 15:27:38,082:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Mülheim |                                                Keup straße119                    
2023-04-08 15:27:38,082:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Belgisches Viertel |                                                Brüsseler Straße 4                    
2023-04-08 15:27:38,083:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Altstadt-Nord |                                                Greesbergstraße                    
2023-04-08 15:27:38,084:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Lövenich |                                                Zaunstraße                    
2023-04-08 15:27:38,085:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Lindenthal |                                                Mommsenstraße                    
2023-04-08 15:27:38,085:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        Bocklemünd/Mengenich |                                                Untere Dorfstr.                    
2023-04-08 15:27:38,086:                        1-Zimmer-Wohnung                          |                                                                                    Köln                                                        belgisches Viertel |                                                Lütticher Straße 10                    
